,Party,Sport,Vidgame,Shop,Read,Exer,Hiphop,Jazz,Classical,Country,Rock,News,Fash,Fict,Celeb,SportNews,Friends,Spending
1,2,3,1,1,1,1,3,3,3,1,2,3,1,2,3,1,1,2
2,2,2,2,3,2,1,2,3,3,1,1,2,2,2,3,2,1,3
3,3,1,3,1,2,1,1,1,1,2,1,2,3,1,3,1,2,2
4,2,3,3,2,3,2,3,2,2,2,2,2,3,2,1,3,2,2
5,3,1,3,2,2,2,1,1,2,2,1,3,3,1,2,2,1,1
6,3,3,3,3,2,1,2,2,3,3,3,2,3,2,2,1,1,1
7,2,3,1,3,3,2,3,1,3,2,3,1,2,1,3,2,3,2
8,3,1,3,1,2,1,1,3,1,3,3,3,3,1,2,1,2,1
9,2,1,1,2,3,3,3,2,3,1,2,3,3,2,2,3,1,2
10,3,3,1,2,1,2,2,3,1,3,3,3,2,2,1,3,1,2
11,1,2,3,3,2,2,2,3,3,1,3,1,1,2,3,3,2,2
12,2,1,1,2,1,1,3,1,3,3,3,3,1,1,3,3,3,1
13,2,1,3,3,2,2,3,3,3,2,3,3,1,3,1,2,3,1
14,1,2,1,3,1,2,1,1,3,2,1,1,1,3,1,3,3,3
15,1,1,1,3,1,3,1,3,1,2,1,2,2,2,3,1,3,3
16,1,2,2,2,1,3,1,1,3,3,1,2,1,2,3,2,2,1
17,1,2,1,1,3,1,2,2,1,1,3,1,2,2,2,1,1,3
18,3,2,2,3,3,3,2,3,2,3,2,3,2,3,3,2,1,2
19,2,1,2,3,1,2,3,2,1,2,2,2,3,2,3,3,3,2
20,2,3,1,1,1,1,1,1,3,1,2,1,2,3,1,1,3,3
21,3,2,2,1,2,3,2,3,3,3,1,1,2,2,1,2,2,2
22,2,2,2,2,2,3,1,3,2,2,2,3,2,3,3,2,3,2
23,1,2,1,1,1,3,2,1,2,1,3,1,2,1,1,1,2,1
24,2,1,2,2,2,2,2,1,1,1,2,3,1,1,3,3,1,3
25,1,3,3,3,3,2,2,3,3,1,2,2,1,3,2,3,3,3
