year,id_,marital,relig,satjob,rank,scigrn,
2021,1,Married,Catholic,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,2,Divorced,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,3,Never married,.n:  No answer,Very satisfied,.i:  Inapplicable,.n:  No answer,
2021,4,Widowed,.n:  No answer,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,6,Never married,Protestant,A little dissatisfied,5,.d:  Do not Know/Cannot Choose,
2021,7,Never married,Christian,Moderately satisfied,4,.d:  Do not Know/Cannot Choose,
2021,8,Never married,Catholic,Very satisfied,4,DISAGREE,
2021,9,Divorced,Protestant,A little dissatisfied,5,DISAGREE,
2021,10,Married,None,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,12,Divorced,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,13,Married,None,Moderately satisfied,5,AGREE,
2021,14,Never married,Muslim/islam,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,15,Married,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,16,Never married,Protestant,.i:  Inapplicable,2,DISAGREE,
2021,17,Married,Catholic,Very satisfied,1 - top,NEITHER AGREE NOR DISAGREE,
2021,18,Never married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,19,Never married,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,21,Married,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,22,Never married,None,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,23,Never married,None,Moderately satisfied,3,DISAGREE,
2021,24,Never married,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,25,Never married,None,Moderately satisfied,3,DISAGREE,
2021,26,Married,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,27,Divorced,Protestant,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,28,Married,None,A little dissatisfied,6,DISAGREE,
2021,29,Married,Jewish,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,30,Married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,31,Married,Protestant,Moderately satisfied,1 - top,AGREE,
2021,32,Never married,None,A little dissatisfied,10 - bottom,DISAGREE,
2021,35,Separated,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,36,Married,Muslim/islam,Very dissatisfied,7,NEITHER AGREE NOR DISAGREE,
2021,37,Divorced,Catholic,Very satisfied,8,DISAGREE,
2021,38,Never married,None,Moderately satisfied,3,NEITHER AGREE NOR DISAGREE,
2021,39,Divorced,Catholic,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,40,Divorced,None,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,41,Divorced,Protestant,Very dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,42,Divorced,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,43,Never married,None,Very satisfied,5,DISAGREE,
2021,44,Married,.n:  No answer,Moderately satisfied,.i:  Inapplicable,.n:  No answer,
2021,45,Never married,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,46,Married,None,Moderately satisfied,5,STRONGLY DISAGREE,
2021,47,Married,Jewish,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,48,Never married,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,49,Married,Protestant,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,50,Never married,Catholic,.s:  Skipped on Web,.i:  Inapplicable,.i:  Inapplicable,
2021,51,Never married,Protestant,Very satisfied,5,STRONGLY DISAGREE,
2021,52,Never married,None,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,53,Never married,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,54,Married,None,Moderately satisfied,7,AGREE,
2021,56,Married,Catholic,A little dissatisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,57,Married,Catholic,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,59,Never married,None,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,60,Never married,Catholic,Very satisfied,4,STRONGLY AGREE,
2021,61,Divorced,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,62,Divorced,None,Very satisfied,6,DISAGREE,
2021,63,Divorced,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,64,Married,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,65,Separated,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,66,Married,Catholic,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,67,Married,Protestant,.i:  Inapplicable,1 - top,.d:  Do not Know/Cannot Choose,
2021,68,Never married,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,69,Married,Protestant,.i:  Inapplicable,5,STRONGLY DISAGREE,
2021,70,Married,Catholic,Very dissatisfied,4,.n:  No answer,
2021,71,Divorced,Native american,A little dissatisfied,6,NEITHER AGREE NOR DISAGREE,
2021,72,Divorced,Catholic,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,74,Separated,None,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,75,Never married,None,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,76,Never married,Christian,.i:  Inapplicable,9,.n:  No answer,
2021,77,Divorced,Protestant,A little dissatisfied,5,STRONGLY DISAGREE,
2021,78,Separated,Catholic,Moderately satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,79,Married,None,Very satisfied,5,NEITHER AGREE NOR DISAGREE,
2021,80,Married,Catholic,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
2021,81,Married,Protestant,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,
2021,82,Never married,None,Moderately satisfied,6,DISAGREE,
2021,83,Married,Protestant,.i:  Inapplicable,5,DISAGREE,
2021,84,Married,Protestant,.i:  Inapplicable,5,STRONGLY DISAGREE,
2021,85,Divorced,Protestant,Very satisfied,.i:  Inapplicable,.i:  Inapplicable,
